name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Rastreadores Contato Para Frotas Carros Motos Caminhao maquinas,"R. Luiz França, 699 - Sobre Loja - Cajuru, Curitiba - PR, 82900-250",rastreadorescontato.com.br,(41) 99735-4287,,5.0,-25.4455021,-49.2958943
Limitcar Monitoramento e Rastreamento veicular,"R. Henrique Joaquim Ribeiro, 531 - Atuba, Colombo - PR, 83408-317",limitcar.com.br,(41) 98840-7208,,5.0,-25.382244,-49.2619814
TrackTech Rastreamento Veicular,"R. Mal. Deodoro, 211 - Centro, Curitiba - PR, 80020-320",,(41) 98816-6229,,,-25.4314751,-49.3424395
Satelo Rastreadores,"R. Nicola Pellanda, 402 - Pinheirinho, Curitiba - PR, 81940-305",satelo.com.br,(41) 2105-8200,,5.0,-25.5327346,-49.369453
SOS Track Rastreamento veicular,"R. Maria Luísa, 150 - Sala 2 - Parque da Fonte, São José dos Pinhais - PR, 83050-580",sostrack.com.br,4003-0954,,4.8,-25.5066776,-49.2533152
GET SAT - Rastreamento Veicular,"Av. Anita Garibaldi, 2330 - São Lourenço, Curitiba - PR, 82200-540",satget.com.br,(41) 99876-0619,,5.0,-25.3929611,-49.3322925
BLOQUEIOSAT,"Av. Anita Garibaldi, 1450 - Cabral, Curitiba - PR, 82200-700",bloqueiosat.com.br,(41) 3019-0234,,3.5,-25.3929611,-49.3322925
MAPSAT BRASIL,"R. Heitor Stockler de França, 396 - 14° Andar - Conjunto 1407 - Centro Cívico, Curitiba - PR, 80030-030",mapsatbrasil.com.br,(41) 99899-1416,,5.0,-25.3929611,-49.3322925
Unisul Brasil - Proteção Veicular.,"Av. Winston Churchill, 2370 - Sala 705 - Capão Raso, Curitiba - PR, 81130-000",unisulbrasil.com.br,(41) 3538-3038,,4.4,-25.5172543,-49.3680216
Rosane Sestrem - Rastreamento Veicular | Curitiba - Paraná - Brasil,,,(41) 92003-0028,,5.0,-24.6167086,-51.3935189
Rastrek Rastreamento,"Estrada da Mina do Ouro, 48 - Santo Inácio, Curitiba - PR, 82010-510",rastrek.com.br,(41) 99543-4853,,2.3,-25.4220647,-49.4084547
Conecta Track,"Rua Tenente Francisco Ferreira de Souza, 2885 - Boqueirão, Curitiba - PR, 81670-010",conectatrack.com.br,(41) 92001-1675,,5.0,-25.4939041,-49.3145766
Rastreador Veicular O monitorador,,omonitorador.com.br,(41) 99828-9896,,5.0,-25.4951166,-49.361896
Boa Vista Rastreamento,"Rua Lodovico Geronazzo, 159 - Boa Vista, Curitiba - PR, 82560-040",boavistarastreamento.com.br,(41) 3019-9843,,5.0,-25.3917933,-49.3118731
GPSAT,"Rua Professor Lício de Lima, 233 - Novo Mundo, Curitiba - PR, 81030-460",gpsat.com.br,(41) 3033-3333,,,-25.4908663,-49.350266
Cllick Solutions - Gestão de Frotas e Rastreamento,"210, Av. Rep. Argentina, 210 - SALA 1005 - Água Verde, Curitiba - PR,CEP:, 80240-210",cllick.com.br,(41) 3081-1900,,4.3,-25.4908663,-49.350266
Autotrac,"R. Helena Grodzki, 918 - Umbará, Curitiba - PR",autotrac.com.br,(41) 99191-2875,,4.2,-25.5551078,-49.3469934
Move Monitoramento,"Av. Pres. Getúlio Vargas, 1334 - Sala 2 - Rebouças, Curitiba - PR, 80250-180",movemonitoramento.com.br,(41) 3527-3925,,5.0,-25.4450385,-49.3447248
Grupo Brava Segurança,"Rua Bom Jesus de Iguape, 1480 - Hauer, Curitiba - PR, 81610-040",bravaalarmes.com.br,(41) 3278-2861,,4.6,-25.4450385,-49.3447248
Sul Sat,"R. Barão de Santo Ângelo, 1182 - Xaxim, Curitiba - PR, 81810-140",,(41) 3779-2271,,3.6,-25.514024,-49.3471514
Avecar Monitoramento,"Rua Adilio Ramos, 1611 - Bairro Alto, Curitiba - PR, 82820-100",avecar.com.br,(41) 99525-0043,,5.0,-25.4109241,-49.2778058
Fastsat Rastreamento de Veículos - PR,"R. Alm. Tamandaré, 500 - Alto da XV, Curitiba - PR, 80045-110",fastsat.com.br,(62) 99108-7255,,1.0,-25.4287036,-49.3270882
Leotec Rastreamento,"Rua rui barbosa - Centro, Curitiba - PR, 82590-300",leotecrastreamento.com.br,(18) 99717-6450,,5.0,-25.4287036,-49.3270882
Rastrear Assistência 24 horas.,"R. Pedro Gusso, 2001 - Lj. 17-18 - Cidade Industrial de Curitiba, Curitiba - PR, 81310-300",rastrearassistencia.com.br,(41) 99565-5611,,5.0,-25.5025716,-49.3850422
